Sprint,CompletedPoints,RemainingPoints,PlannedValue,EarnedValue,ScheduleVariance
1,61.12931812510302,1154.870681874897,63.300000000000004,111.12931812510305,47.82931812510305
2,64.16878938188766,1090.7018924930094,126.60000000000001,175.29810750699062,48.69810750699061
3,54.06284488783278,1036.6390476051765,189.9,229.36095239482347,39.460952394823465
4,64.01190976988849,972.6271378352881,253.20000000000002,293.37286216471193,40.172862164711916
5,55.618639426876086,967.0084984084119,316.5,298.9915015915881,-17.508498408411924
6,64.05943284470452,902.9490655637074,379.8,363.05093443629255,-16.74906556370746
7,53.68618509442104,849.2628804692864,443.09999999999997,416.7371195307136,-26.36288046928638
8,62.03326353826893,787.2296169310175,506.40000000000003,478.7703830689825,-27.62961693101755
9,65.59502977600225,721.6345871550153,569.7,544.3654128449847,-25.334587155015356
10,64.45636784561717,657.1782193093982,633.0,608.8217806906018,-24.178219309398173
11,42.2356867467282,614.94253256267,696.3000000000001,651.05746743733,-45.24253256267002
12,70.45358668067506,544.4889458819949,759.6,721.5110541180051,-38.08894588199496
13,32.08294072007779,512.4060051619172,822.9,753.5939948380828,-69.30600516191714
14,59.37061544688373,453.03538971503343,886.1999999999999,812.9646102849665,-73.23538971503342
15,51.132106286437455,401.90328342859596,949.5,864.096716571404,-85.40328342859596
16,41.415863486181784,360.4874199424142,1012.8000000000001,905.5125800575859,-107.2874199424142
17,44.43293418205956,316.0544857603546,1076.1,949.9455142396454,-126.15448576035453
18,61.27334226885558,254.78114349149905,1139.4,1011.218856508501,-128.18114349149914
19,60.51366536791173,194.26747812358732,1202.7,1071.7325218764126,-130.9674781235874
20,61.86259856255932,132.404879561028,1266.0,1133.5951204389721,-132.40487956102788
